Tag	Treat_1	Treat_2	Treat_3	Model_1	Model_2	Model_3
SUOX	609.5138513	648.1972875	509.2437495	347.8497269	369.7665621	345.5841445
PFKFB3	552.4948136	430.7895016	464.2158811	1040.713449	771.3410004	736.5382745
ELL2	2195.232952	1840.920557	1874.016998	2956.722679	2665.897633	2949.049054
MEGF8	1611.279359	1536.952264	1490.208025	1023.69906	1109.299686	1116.873897
CXADR	1569.989711	1264.186014	1144.994367	2161.772624	1991.968254	2016.551056
ARHGEF40	5692.072902	6021.994365	5672.439323	4340.559636	4455.090675	4218.443328
SIVA1	1016.51181	1274.251189	1170.724578	737.2901821	721.6411937	799.283999
ATP5MC3	3748.510186	5010.44425	4266.926574	2810.209886	3021.748249	2907.540344
CPEB4	584.9366799	469.0371677	370.943868	881.912487	802.1548806	792.5267672
STARD10	3530.264903	3808.662323	4256.205653	2686.382945	2844.816937	2657.522765
FGFR4	7366.269819	7367.708299	6853.884822	5401.123205	5539.540458	5291.877878
FUT6	683.2453656	729.7252072	701.1482361	474.5123992	440.3402876	473.0062313
TMEM121	320.4863154	246.5967942	329.132276	150.2937679	134.1894782	174.7227099
ACTG1	66902.00988	73854.23008	69170.31047	51949.65528	54970.96823	51411.91607
POLD2	4083.742804	4497.120312	4237.980088	3123.085592	3281.18124	3049.442214
TRIB1	1460.867069	1161.521226	1471.982459	2073.864948	2028.746111	1968.285114
BACH1	539.7146845	432.8025367	381.6647891	842.2122464	730.5871589	703.7174339
SH3RF1	339.1649656	328.1247139	301.2578813	538.7889792	489.0460982	525.1334486
MT1G	233.974672	339.1964067	261.5904734	148.4032802	145.1234356	125.4914491
SMAD5	978.1714227	779.0445661	692.5714993	1380.055982	1280.267021	1224.024288
LRRC45	826.7760467	1003.497975	947.7294201	490.5815442	607.3316382	641.9370282
SF3B5	2831.290148	3410.081382	3262.376273	2100.331775	2370.680781	2193.204403
NOTCH1	358.8267028	300.9487406	263.7346576	580.3797074	481.0941291	514.5149414
ILVBL	1671.247657	1798.646821	1683.184604	1171.157097	1315.056886	1113.012622
SH3GLB1	1480.528807	1311.492338	1340.11513	1969.888127	1894.556632	1899.747476
